# Resultados del experimento cliente-servidor - EJ 4B
Host: 192.168.56.10, Puerto: 8080

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| CLIENTE:: | 1000 | 0.087976 | 2.075195 | OK |
| CLIENTE:: | 1000 | 0.092983 | 1.921177 | OK |
| CLIENTE:: | 1000 | 0.066996 | 2.185106 | OK |
| CLIENTE:: | 1000 | 0.105858 | 2.324104 | OK |
| CLIENTE:: | 1000 | 0.103951 | 2.188921 | OK |
| CLIENTE:: | 1000 | 0.070095 | 2.480984 | OK |
| CLIENTE:: | 1000 | 0.069141 | 1.976013 | OK |
| CLIENTE:: | 1000 | 0.075102 | 2.120972 | OK |
| CLIENTE:: | 1000 | 0.067949 | 1.956940 | OK |
| CLIENTE:: | 1000 | 0.067949 | 2.115965 | OK |
| CLIENTE:: | 1000 | 0.066042 | 1.934052 | OK |
| CLIENTE:: | 1000 | 0.083208 | 2.251863 | OK |
| CLIENTE:: | 1000 | 0.072956 | 2.108097 | OK |
| CLIENTE:: | 1000 | 0.068903 | 2.148151 | OK |
| CLIENTE:: | 1000 | 0.079870 | 2.116203 | OK |
| CLIENTE:: | 1000 | 0.079870 | 2.134085 | OK |
| CLIENTE:: | 1000 | 0.077009 | 2.166986 | OK |
| CLIENTE:: | 1000 | 0.070095 | 2.321005 | OK |
| CLIENTE:: | 1000 | 0.062943 | 2.161026 | OK |
| CLIENTE:: | 1000 | 0.072956 | 2.243996 | OK |
| CLIENTE:: | 1000 | 0.114918 | 2.228975 | OK |
| CLIENTE:: | 1000 | 0.344038 | 2.190113 | OK |
| CLIENTE:: | 1000 | 0.082016 | 2.236128 | OK |
| CLIENTE:: | 1000 | 0.067949 | 2.125025 | OK |
| CLIENTE:: | 1000 | 0.072956 | 2.526999 | OK |
| CLIENTE:: | 1000 | 0.067949 | 2.079010 | OK |
| CLIENTE:: | 1000 | 0.068903 | 2.233028 | OK |
| CLIENTE:: | 1000 | 0.067949 | 1.923084 | OK |
| CLIENTE:: | 1000 | 0.088930 | 2.190113 | OK |
| CLIENTE:: | 1000 | 0.068903 | 2.018213 | OK |
| CLIENTE:: | 1000 | 0.082970 | 2.347946 | OK |
| CLIENTE:: | 1000 | 0.076056 | 2.044916 | OK |
| CLIENTE:: | 1000 | 0.069141 | 2.177954 | OK |
| CLIENTE:: | 1000 | 0.077009 | 2.235889 | OK |
| CLIENTE:: | 1000 | 0.112057 | 2.659082 | OK |
| CLIENTE:: | 1000 | 0.123978 | 2.202988 | OK |
| CLIENTE:: | 1000 | 0.086069 | 2.536058 | OK |
| CLIENTE:: | 1000 | 0.064135 | 2.309084 | OK |
| CLIENTE:: | 1000 | 0.103951 | 3.027916 | OK |
| CLIENTE:: | 1000 | 0.066042 | 2.614975 | OK |
| CLIENTE:: | 1000 | 0.072002 | 2.203941 | OK |
| CLIENTE:: | 1000 | 0.078917 | 2.140999 | OK |
| CLIENTE:: | 1000 | 0.069857 | 1.986980 | OK |
| CLIENTE:: | 1000 | 0.066042 | 2.577066 | OK |
| CLIENTE:: | 1000 | 0.070095 | 2.264977 | OK |
| CLIENTE:: | 1000 | 0.068188 | 2.157927 | OK |
| CLIENTE:: | 1000 | 0.083208 | 2.158880 | OK |
| CLIENTE:: | 1000 | 0.072002 | 2.121925 | OK |
| CLIENTE:: | 1000 | 0.086069 | 1.904011 | OK |
| CLIENTE:: | 1000 | 0.074148 | 2.335787 | OK |
| CLIENTE:: | 1000 | 0.076056 | 2.120972 | OK |
| CLIENTE:: | 1000 | 0.096798 | 2.131224 | OK |
| CLIENTE:: | 1000 | 0.096083 | 2.021074 | OK |
| CLIENTE:: | 1000 | 0.072002 | 2.240181 | OK |
| CLIENTE:: | 1000 | 0.082016 | 2.259970 | OK |
| CLIENTE:: | 1000 | 0.067949 | 2.084017 | OK |
| CLIENTE:: | 1000 | 0.066042 | 2.109051 | OK |
| CLIENTE:: | 1000 | 0.066996 | 2.033949 | OK |
| CLIENTE:: | 1000 | 0.120878 | 2.508163 | OK |
| CLIENTE:: | 1000 | 0.074148 | 1.925945 | OK |
| CLIENTE:: | 1000 | 0.064135 | 2.340078 | OK |
| CLIENTE:: | 1000 | 0.082970 | 1.988173 | OK |
| CLIENTE:: | 1000 | 0.066996 | 2.177954 | OK |
| CLIENTE:: | 1000 | 0.088930 | 2.305984 | OK |
| CLIENTE:: | 1000 | 0.067949 | 2.243996 | OK |
| CLIENTE:: | 1000 | 0.066996 | 2.029896 | OK |
| CLIENTE:: | 1000 | 0.064135 | 2.203941 | OK |
| CLIENTE:: | 1000 | 0.069857 | 2.027035 | OK |
| CLIENTE:: | 1000 | 0.064850 | 2.195120 | OK |
| CLIENTE:: | 1000 | 0.651121 | 1.993895 | OK |
| CLIENTE:: | 1000 | 0.065088 | 2.007008 | OK |
| CLIENTE:: | 1000 | 0.087976 | 2.187014 | OK |
| CLIENTE:: | 1000 | 0.068188 | 2.020836 | OK |
| CLIENTE:: | 1000 | 0.072002 | 2.295017 | OK |
| CLIENTE:: | 1000 | 0.066996 | 2.007008 | OK |
| CLIENTE:: | 1000 | 0.095844 | 2.791166 | OK |
| CLIENTE:: | 1000 | 0.066996 | 2.105951 | OK |
| CLIENTE:: | 1000 | 0.147104 | 2.372980 | OK |
